fileName,A,B,AtoB (bit/s),BtoA (bit/s)
EP008-1509317780039,192.168.0.123:47775,192.168.0.110:3000,878.8084483,984.8568311
EP008-1509317780039,192.168.0.123:47746,192.168.0.110:3000,870.7825448,829.2089708
EP008-1509317780039,192.168.0.123:47751,192.168.0.110:3000,858.2660667,984.1223619
EP008-1509317780039,192.168.0.123:47763,192.168.0.110:3000,859.5642507,984.3076245
EP008-1509317780039,192.168.0.123:47788,192.168.0.110:3000,873.1326613,831.717012
EP008-1509317780039,192.168.0.123:47796,192.168.0.110:3000,860.5484752,985.4346837
EP008-1509317780039,192.168.0.123:47801,192.168.0.110:3000,872.3398981,830.6919718
EP008-1509317780039,192.168.0.123:47802,192.168.0.110:3000,869.0314068,827.541437
EP008-1509317780039,192.168.0.123:47804,192.168.0.110:3000,854.3771639,979.0150498
EP008-1509317780039,192.168.0.123:47807,192.168.0.110:3000,873.9741484,832.2481984
EP008-1509317780039,192.168.0.123:47809,192.168.0.110:3000,871.1212964,829.5315495
EP008-1509317780039,192.168.0.123:47733,192.168.0.110:3000,853.560874,831.1658859
EP008-1509317780039,192.168.0.123:47736,192.168.0.110:3000,857.6728751,835.17
EP008-1509317780039,192.168.0.123:47740,192.168.0.110:3000,856.0297465,833.0166667
EP008-1509317780039,192.168.0.123:47741,192.168.0.110:3000,854.0238891,831.6167529
EP008-1509317780039,192.168.0.123:47744,192.168.0.110:3000,849.4941052,827.2058175
EP008-1509317780039,192.168.0.123:47747,192.168.0.110:3000,858.2589604,836.0183627
EP008-1509317780039,192.168.0.123:47750,192.168.0.110:3000,858.349536,835.2740921
EP008-1509317780039,192.168.0.123:47753,192.168.0.110:3000,854.0481129,831.6403411
EP008-1509317780039,192.168.0.123:47755,192.168.0.110:3000,852.8494953,829.9219118
EP009-1509336190700,192.168.0.122:47311,192.168.0.110:3000,4489.478544,530.1255759
EP009-1509336190700,192.168.0.110:50506,192.168.0.110:1883,602.9045735,2238.74533
EP009-1509336190700,127.0.0.1:46376,127.0.0.1:1883,80.28292913,2212.331343
EP010-1509338018220,192.168.0.110:50836,192.168.0.110:1883,606.2677201,2257.203879
EP010-1509338018220,192.168.0.122:47329,192.168.0.110:3000,4484.662245,527.8883877
EP010-1509338018220,127.0.0.1:46376,127.0.0.1:1883,80.95601975,2225.175324
EP010-1509338018220,192.168.0.122:47311,192.168.0.110:3000,1910.612104,305.8610626
EP011-1509347393435,192.168.0.110:51232,192.168.0.110:1883,636.2228677,2355.932791
EP011-1509347393435,192.168.0.123:48874,192.168.0.110:3000,4669.287088,553.4780961
EP012-1509349217413,192.168.0.110:51514,192.168.0.110:1883,642.7387584,2393.293147
EP012-1509349217413,192.168.0.123:48892,192.168.0.110:3000,4713.361141,552.8279212
EP012-1509349217413,192.168.0.123:48874,192.168.0.110:3000,23050.84746,5762.711864
EP013-1509364267672,192.168.0.122:55079,192.168.0.110:3000,4523.155368,541.646757
EP013-1509364267672,192.168.0.110:37382,192.168.0.110:1883,620.5626696,2297.832757
EP013-1509364267672,192.168.0.110:37198,192.168.0.110:1883,178.9872133,107.1842033
EP014-1509381592185,192.168.0.110:39410,192.168.0.110:1883,540.6876046,1971.174935
EP014-1509381592185,192.168.0.123:48913,192.168.0.110:3000,4655.68687,565.9687772
EP014-1509381592185,127.0.0.1:60526,127.0.0.1:1883,36.89409991,1688.591483
EP014-1509381592185,192.168.0.123:48912,192.168.0.110:3000,517.9430098,51.96594248
EP015-1509383442390,192.168.0.123:48928,192.168.0.110:3000,4608.022648,550.1104948
EP015-1509383442390,192.168.0.110:39704,192.168.0.110:1883,613.6823743,2307.592213
EP015-1509383442390,127.0.0.1:60526,127.0.0.1:1883,39.70661275,1991.273245
EP015-1509383442390,192.168.0.123:48913,192.168.0.110:3000,5883.376073,121.3067232
EP016-1509385268508,192.168.0.110:39958,192.168.0.110:1883,644.1848328,2397.036204
EP016-1509385268508,192.168.0.123:48946,192.168.0.110:3000,2371.073945,565.6570019
EP016-1509385268508,127.0.0.1:60526,127.0.0.1:1883,40.77282367,2038.787848
EP016-1509385268508,192.168.0.123:48928,192.168.0.110:3000,320000,160000
EP017-1509433562784,192.168.0.123:52056,192.168.0.110:3000,9434.193877,170.0051696
EP017-1509433562784,192.168.0.110:45784,192.168.0.110:1883,174.5435074,4651.119507
EP017-1509433562784,127.0.0.1:60526,127.0.0.1:1883,44.03296614,4546.539111
EP018-1509437392727,192.168.0.123:52092,192.168.0.110:3000,9431.554733,169.5269053
EP018-1509437392727,192.168.0.110:46118,192.168.0.110:1883,178.9335713,4664.983738
